Title/Description,Apps Involved,User Count,URL
Update your Android wallpaper with NASA's image of the day,"Space, Android Device",348.2k,https://ifttt.com/applets/yNvHX9VQ-update-your-android-wallpaper-with-nasa-s-image-of-the-day
Quickly create events in a Google Calendar,"Google Calendar, Note widget",127.5k,https://ifttt.com/applets/CrhspkRx-quickly-create-events-in-a-google-calendar
Tweet your Instagrams as native photos on Twitter,"Instagram, Twitter",603.8k,https://ifttt.com/applets/aVxGRrtD-tweet-your-instagrams-as-native-photos-on-twitter
Automatically create a Discover Weekly archive,Spotify,25.3k,https://ifttt.com/applets/NFRkZeJu-automatically-create-a-discover-weekly-archive
If my character is killed in Rust send me a notification,"Rust, Notifications",5.8k,https://ifttt.com/applets/ntpzWP2L-if-my-character-is-killed-in-rust-send-me-a-notification
Turn on/off your lights with one tap on your phone,"Philips Hue, Button widget",109.2k,https://ifttt.com/applets/wYf8ceZQ-turn-on-off-your-lights-with-one-tap-on-your-phone
SMS2Email: Forward your text messages to your email byIFTTT,"Android SMS, Email",5.7k,https://ifttt.com/applets/QM6Ua5BE-sms2email-forward-your-text-messages-to-your-email
Track your work hours in Google Calendar,"Google Calendar, Location",155.7k,https://ifttt.com/applets/sFk2WC4r-track-your-work-hours-in-google-calendar
Sunset Notification bymaxemoose,"Weather Underground, Notifications",18.0k,https://ifttt.com/applets/MRMSvUrp-sunset-notification
Automatically unmute your Android when you get back home byIFTTT,"Android Device, Location",172.8k,https://ifttt.com/applets/FapTeHd5-automatically-unmute-your-android-when-you-get-back-home
Set your Android phone wallpaper with your latest Instagram photo,"Instagram, Android Device",24.1k,https://ifttt.com/applets/qczb8pJt-set-your-android-phone-wallpaper-with-your-latest-instagram-photo
Save new photos you're tagged in on Facebook to Dropbox,"Dropbox, Facebook",156.4k,https://ifttt.com/applets/rveqra5B-save-new-photos-you-re-tagged-in-on-facebook-to-dropbox
"If a webhook is triggered, get a mobile notification","Webhooks, Notifications",2,https://ifttt.com/applets/ZiLGhwtZ-if-a-webhook-is-triggered-get-a-mobile-notification
"If there is a birthday on my calendar today, send me a reminder","Pushbullet, Google Calendar",7.7k,https://ifttt.com/applets/h3Ty2qZj-if-there-is-a-birthday-on-my-calendar-today-send-me-a-reminder
Post your Instagram videos to a Facebook Page,"Instagram, Facebook Pages",16.1k,https://ifttt.com/applets/aMmpTtFR-post-your-instagram-videos-to-a-facebook-page
Receive a push notification when a company stock rises above a specified price,"Finance, Notifications",3.1k,https://ifttt.com/applets/NydZreXh-receive-a-push-notification-when-a-company-stock-rises-above-a-specified-price
"When a SMS is sent, save it to a Google drive document (each contact gets its own doc)","Google Docs, Android SMS",1.9k,https://ifttt.com/applets/RTCvLG4p-when-a-sms-is-sent-save-it-to-a-google-drive-document-each-contact-gets-its-own-doc
Get a notification reminder to put on sunscreen when the UV index is high,"Weather Underground, Notifications",62.8k,https://ifttt.com/applets/Pp5DH7sT-get-a-notification-reminder-to-put-on-sunscreen-when-the-uv-index-is-high
Turn off your Hue lights when you leave home,"Philips Hue, Location",16.3k,https://ifttt.com/applets/yurpy75a-turn-off-your-hue-lights-when-you-leave-home
Receive a weekly email summary of your Fitbit activity,"Fitbit, Email Digest",5.5k,https://ifttt.com/applets/KXqUVJgn-receive-a-weekly-email-summary-of-your-fitbit-activity
Create Google My Business posts from new Instagram photo posts,"Instagram, Google My Business",90,https://ifttt.com/applets/SVzBimDJ-create-google-my-business-posts-from-new-instagram-photo-posts
Congratulate my birthday!,"Date & Time, Notifications",9.7k,https://ifttt.com/applets/Mt5VKkfD-congratulate-my-birthday
Press a button to track work hours in Google Drive,"Google Sheets, Button widget",123.2k,https://ifttt.com/applets/NAMgXbLj-press-a-button-to-track-work-hours-in-google-drive
Send a web request when you update a spreadsheet,"Webhooks, Google Sheets",,https://ifttt.com/applets/jYqxjmFH-send-a-web-request-when-you-update-a-spreadsheet
Get your Fitbit sleep logs as a weekly email digest,"Fitbit, Email Digest",3.3k,https://ifttt.com/applets/kPXmqYxR-get-your-fitbit-sleep-logs-as-a-weekly-email-digest
Get notified of stock price decreases,"Finance, Notifications",4.6k,https://ifttt.com/applets/yNjKhWTS-get-notified-of-stock-price-decreases
"If I like a Tumblr post, copy the image into my Google Drive folder. With blog name & url in filenam","Tumblr (legacy), Google Drive",4.0k,https://ifttt.com/applets/YCKmp4A3-if-i-like-a-tumblr-post-copy-the-image-into-my-google-drive-folder-with-blog-name-url-in-filenam
Sync new events added from an iOS Calendar to your GCal,"Google Calendar, iOS Calendar",1.3k,https://ifttt.com/applets/aKYenUFV-sync-new-events-added-from-an-ios-calendar-to-your-gcal
Get notified of new IFTTT updates,"IFTTT, Notifications",16.0k,https://ifttt.com/applets/ZpeCmidF-get-notified-of-new-ifttt-updates
Google Drive Camera,"Google Drive, Camera widget",16.8k,https://ifttt.com/applets/HVaQjptn-google-drive-camera
RSS to Tumblr,"Tumblr (legacy), RSS Feed",7.5k,https://ifttt.com/applets/DEUAYvMR-rss-to-tumblr
Launch outgoing calls through Maker Webhooks,"woopla phone calls, Webhooks",8,https://ifttt.com/applets/GPuGvEqk-launch-outgoing-calls-through-maker-webhooks
Keep track of a particular stock's daily closing price in a spreadsheet,"Finance, Google Sheets",2.0k,https://ifttt.com/applets/WzacKGsT-keep-track-of-a-particular-stock-s-daily-closing-price-in-a-spreadsheet
Unmute your Android phone's ringer every morning,"Android Device, Date & Time",31.3k,https://ifttt.com/applets/FzgpsbRi-unmute-your-android-phone-s-ringer-every-morning
Back up your new Facebook photos to Google Drive,"Facebook, Google Drive",9.4k,https://ifttt.com/applets/uVCxgmMe-back-up-your-new-facebook-photos-to-google-drive
RSS to Diigo via Gmail,"Gmail, RSS Feed",2.2k,https://ifttt.com/applets/T2TXbSrd-rss-to-diigo-via-gmail
Automatically create Google Calendar events for new Todoist tasks,"Todoist, Google Calendar",10.1k,https://ifttt.com/applets/m7QN9uYD-automatically-create-google-calendar-events-for-new-todoist-tasks
Get a summary email of tasks you have completed this week,"Todoist, Email Digest",5.3k,https://ifttt.com/applets/hxfjgLZ6-get-a-summary-email-of-tasks-you-have-completed-this-week
Sync Evernote notebook to Google Drive,"Evernote, Google Docs",1.2k,https://ifttt.com/applets/A6TvmyJK-sync-evernote-notebook-to-google-drive
Automatically tweet your new blog posts,"WordPress, Twitter",25.6k,https://ifttt.com/applets/wAh7wuTD-automatically-tweet-your-new-blog-posts
Automatically create a new Google Calendar event when your business is tagged in a Facebook Photo,"Facebook, Google Calendar",8,https://ifttt.com/applets/FBTeUV6M-automatically-create-a-new-google-calendar-event-when-your-business-is-tagged-in-a-facebook-photo
Webhooks to Twitter integration,"Webhooks, Twitter",,https://ifttt.com/applets/KeVCGpXU-webhooks-to-twitter-integration
Save all your contacts,"iOS Contacts, Google Docs",3.2k,https://ifttt.com/applets/MsSWGKN8-save-all-your-contacts
Shopify: If a new product is added then post product to Twitter and Facebook,"RSS Feed, Twitter, Shopify",,https://ifttt.com/applets/nSTaUzV4-shopify-if-a-new-product-is-added-then-post-product-to-twitter-and-facebook
Mute your Android phone at bedtime,"Android Device, Date & Time",57.5k,https://ifttt.com/applets/KLJbpBxX-mute-your-android-phone-at-bedtime
Log how much time you spend at specific locations like the office or home in a spreadsheet,"Google Sheets, Location",155.6k,https://ifttt.com/applets/XnveYFDL-log-how-much-time-you-spend-at-specific-locations-like-the-office-or-home-in-a-spreadsheet
RSS to OneNote Page From Link,"OneNote, RSS Feed",11.6k,https://ifttt.com/applets/bktqp47r-rss-to-onenote-page-from-link
Backup your iPhone contacts to single Google Document,"iOS Contacts, Google Docs",1.0k,https://ifttt.com/applets/ZtXgnwfu-backup-your-iphone-contacts-to-single-google-document
Automatically add a Google Calendar event when a new campaign is scheduled in MailChimp,"Google Calendar, Mailchimp",6,https://ifttt.com/applets/fNrwtEqS-automatically-add-a-google-calendar-event-when-a-new-campaign-is-scheduled-in-mailchimp
Track your daily Fitbit activity in a Google spreadsheet,"Fitbit, Google Sheets",26.4k,https://ifttt.com/applets/UAaFUztX-track-your-daily-fitbit-activity-in-a-google-spreadsheet
RSS to Buffer URL Only,"Buffer, RSS Feed",13.9k,https://ifttt.com/applets/tQb2gTZN-rss-to-buffer-url-only
Get a daily notification with a new recommended Applet,"IFTTT, Notifications",2.6k,https://ifttt.com/applets/cWgKNy43-get-a-daily-notification-with-a-new-recommended-applet
Note to self,"Phone Call (US only), Gmail",4.1k,https://ifttt.com/applets/Bhf5GQWv-note-to-self
Create a new row in Google Sheets when your business is tagged in a Facebook photo,"Facebook, Google Sheets",10,https://ifttt.com/applets/EUBKiDtr-create-a-new-row-in-google-sheets-when-your-business-is-tagged-in-a-facebook-photo
RSS to Diigo,"Diigo, RSS Feed",10.8k,https://ifttt.com/applets/PXvh4sUT-rss-to-diigo
Automatically sync new files added to Dropbox to your Google Drive,"Dropbox, Google Drive",8.0k,https://ifttt.com/applets/b5zt9dWA-automatically-sync-new-files-added-to-dropbox-to-your-google-drive
Creates a log when you arrive and leave work,"Google Docs, Location",2.9k,https://ifttt.com/applets/avz6NhdQ-creates-a-log-when-you-arrive-and-leave-work
YouTube to Google Drive,"YouTube, Google Docs",2.0k,https://ifttt.com/applets/nNtBzHdL-youtube-to-google-drive
"Every day at 6 AM, add today's weather report to your calendar","Google Calendar, Weather Underground",71.0k,https://ifttt.com/applets/LRCDMcBm-every-day-at-6-am-add-today-s-weather-report-to-your-calendar
Track your nightly sleep in Google Calendar,"Fitbit, Google Calendar",9.7k,https://ifttt.com/applets/wsTcJyNt-track-your-nightly-sleep-in-google-calendar
Save your Instagram photos in Evernote,"Evernote, Instagram",28.8k,https://ifttt.com/applets/TGuaNg3D-save-your-instagram-photos-in-evernote
Sync all your new iOS Contacts to a Google Spreadsheet,"iOS Contacts, Google Sheets",271.9k,https://ifttt.com/applets/dycqQ5A6-sync-all-your-new-ios-contacts-to-a-google-spreadsheet
Park mower if weather forecast predicts frost or heavy rain,"Husqvarna Automower®, Weather Underground",60.4k,https://ifttt.com/connections/tQxqUWY7-park-mower-if-weather-forecast-predicts-frost-or-heavy-rain
Image of the day from NASA → iOS Reading List,"Space, iOS Reading List",21.8k,https://ifttt.com/applets/ADTRpPSr-image-of-the-day-from-nasa-ios-reading-list
Get an email when a particular stock drops below a certain price,"Finance, Email",1.4k,https://ifttt.com/applets/Nkysx56H-get-an-email-when-a-particular-stock-drops-below-a-certain-price
Make a web request when I press a button,"Webhooks, Button widget",1,https://ifttt.com/applets/KWqQedih-make-a-web-request-when-i-press-a-button
Create Google Calendar events for new Facebook Lead Ad leads,"Google Calendar, Facebook Lead Ads",N/A,https://ifttt.com/applets/xQ3Kn5wc-create-google-calendar-events-for-new-facebook-lead-ad-leads
A daily email with new Recipes for you to try,"IFTTT, Email",39.3k,https://ifttt.com/applets/Ad75LtKR-a-daily-email-with-new-recipes-for-you-to-try
How strong is your currency in another country? Log the exchange rate every day,"Finance, Google Sheets",4.4k,https://ifttt.com/applets/xyH5p6Ag-how-strong-is-your-currency-in-another-country-log-the-exchange-rate-every-day
Tweet Happy New Year!,"Twitter, Date & Time",8.8k,https://ifttt.com/applets/ZGNBKf9Y-tweet-happy-new-year
Download new songs you like to Google Drive,"SoundCloud, Google Drive",4.3k,https://ifttt.com/applets/yyRpiu6t-download-new-songs-you-like-to-google-drive
Get an email with the latest IFTTT updates,"RSS Feed, Email",76.8k,https://ifttt.com/applets/i8YQ3XsG-get-an-email-with-the-latest-ifttt-updates
Tweet your new Tumblr posts,"Tumblr (legacy), Twitter",14.3k,https://ifttt.com/applets/HK8uHfjA-tweet-your-new-tumblr-posts
Medium to Kindle,"Medium, Gmail",1.3k,https://ifttt.com/applets/CacrQyeZ-medium-to-kindle
"If There are Recommended Recipes for Me, Send Me a Weekly Email with All of The Recommended Recipes","IFTTT, Email Digest",1.3k,https://ifttt.com/applets/pxjtmg58-if-there-are-recommended-recipes-for-me-send-me-a-weekly-email-with-all-of-the-recommended-recipes
