Template Name,Description,Snapshot,URL
Property Management App,"Managing multiple properties can be a challenging task, but Retool Mobile makes it easier with the ability to build comprehensive property management apps. Use Retool Mobile to streamline property maintenance, tenant requests, and building inspections.",https://images.ctfassets.net/kepwgvmwgwnt/MNZ8VAe5wcTT2CkhlIczb/def782795db1d20736f6a393e2c6452b/Frame_620.png,https://retool.com/templates/property-management
Field Sales App,"In a competitive sales environment, having access to real-time customer data and insights can mean the difference between closing a deal and losing a potential client. Retool Mobile's Field Sales apps can empower your teams to access and manage customer data, update your CRM, and close deals while on the move.",https://images.ctfassets.net/kepwgvmwgwnt/3xvREeKwHpYawsToi2w3G2/cccf0ebb14960cffba6af13a6bc21531/marketing-dashboard.png,https://retool.com/templates/field-sales
HVAC Service App,"Efficiently managing HVAC service operations is crucial to keeping your business running efficiently. Using Retool Mobile, you can build an HVAC Service App that streamlines the service process end to end, from scheduling and dispatching to invoicing and reporting.",https://images.ctfassets.net/kepwgvmwgwnt/5iHHAnxgAOaURoBBeHQRId/52c53b84913b24b0ff42aef68a449391/Customer_Name__Company_Title.png,https://retool.com/templates/hvac-service-app
Library Management System,"This app is a library management system that allows you to organize, manage, and track a dataset of books and other library resources.",https://images.ctfassets.net/kepwgvmwgwnt/a5sZjfw6fawZh0BjlLabt/a8a36565e605bc9f15342f85e3199e59/Warehouse_Management.png,https://retool.com/templates/library-management-system
Snowflake Dashboard,"A dashboard for reading from and writing to your customer data, built on Snowflake. This app lets you look through customers and take action on your data.",https://images.ctfassets.net/kepwgvmwgwnt/3xvREeKwHpYawsToi2w3G2/cccf0ebb14960cffba6af13a6bc21531/marketing-dashboard.png,https://retool.com/templates/snowflake-dashboard
Snowflake Admin Panel,"An admin panel for reading from and writing to your customer data, built on Snowflake. This app lets you look through customers and take action on your data.",https://images.ctfassets.net/kepwgvmwgwnt/5keOl5fJCUaoxDCxxYm0YD/13cf51503ef13eacc2e1ba44a2d6a440/Frame_624__1_.png,https://retool.com/templates/snowflake-admin-panel
S3 Dashboard,"A dashboard for visualizing core business metrics, built on S3. This app lets you look through customer trends and take action on your data.",https://images.ctfassets.net/kepwgvmwgwnt/63MI8JtqXTNMc2FHFGI8iE/0e583db3f17f58dc9aaaafc84710264c/Frame_621__2_.png,https://retool.com/templates/s3-dashboard
S3 Admin Panel,"An admin panel for reading from and writing to your customer data, built on S3. This app lets you look through customers and take action on your data.",https://images.ctfassets.net/kepwgvmwgwnt/3UiyT5NkbZU3cU6n9TAxNf/e4c76f309763e72069500f2f1911199d/btc-chart__1_.png,https://retool.com/templates/s3-admin-panel
REST API Dashboard,"A dashboard for visualizing core business metrics, built on a REST API. This app lets you look through customer trends and take action on your data.",https://images.ctfassets.net/kepwgvmwgwnt/6bXBVxA40K2kpgIOKBdfGs/365a96432c12a166a15beea5bf3b81d5/Finance_Dashboard.png,https://retool.com/templates/rest-api-dashboard
REST API Admin Panel,"An admin panel for reading from and writing to your customer data, built on a REST API. This app lets you look through customers and take action on your data.",https://images.ctfassets.net/kepwgvmwgwnt/5keOl5fJCUaoxDCxxYm0YD/13cf51503ef13eacc2e1ba44a2d6a440/Frame_624__1_.png,https://retool.com/templates/rest-api-admin-panel
Firebase RealtimeDB Dashboard,"A dashboard for visualizing core business metrics, built on Firebase RealtimeDB. This app lets you look through customer trends and take action on your data.",https://images.ctfassets.net/kepwgvmwgwnt/3EfNXc65Fz7V1mMGPn0397/fd3134d360b423e85299c0ad2fd0992d/eng-dashboard.png,https://retool.com/templates/firebase-realtimedb-dashboard
Firebase RealtimeDB Admin Panel,"An admin panel for reading from and writing to your customer data, built on RealtimeDB. This app lets you look through customers and take action on your data.",https://images.ctfassets.net/kepwgvmwgwnt/MNZ8VAe5wcTT2CkhlIczb/def782795db1d20736f6a393e2c6452b/Frame_620.png,https://retool.com/templates/firebase-realtimedb-admin-panel
PostgreSQL Dashboard,"A dashboard for visualizing core business metrics, built on PostgreSQL. This app lets you look through customer trends and take action on your data.",https://images.ctfassets.net/kepwgvmwgwnt/3xvREeKwHpYawsToi2w3G2/cccf0ebb14960cffba6af13a6bc21531/marketing-dashboard.png,https://retool.com/templates/postgresql-dashboard
PostgreSQL Admin Panel,"An admin panel for reading from and writing to your customer data, built on PostgreSQL. This app lets you look through customers and take action on your data.",https://images.ctfassets.net/kepwgvmwgwnt/5keOl5fJCUaoxDCxxYm0YD/13cf51503ef13eacc2e1ba44a2d6a440/Frame_624__1_.png,https://retool.com/templates/postgresql-admin-panel
MySQL Dashboard,"A dashboard for visualizing core business metrics, built on MySQL. This app lets you look through customer trends and take action on your data.",https://images.ctfassets.net/kepwgvmwgwnt/6bXBVxA40K2kpgIOKBdfGs/365a96432c12a166a15beea5bf3b81d5/Finance_Dashboard.png,https://retool.com/templates/mysql-dashboard
MySQL Admin Panel,"An admin panel for reading from and writing to your customer data, built on MySQL. This app lets you look through customers and take action on your data.",https://images.ctfassets.net/kepwgvmwgwnt/63MI8JtqXTNMc2FHFGI8iE/0e583db3f17f58dc9aaaafc84710264c/Frame_621__2_.png,https://retool.com/templates/mysql-admin-panel
MSSQL Dashboard,"A dashboard for visualizing core business metrics, built on MSSQL. This app lets you look through customer trends and take action on your data.",https://images.ctfassets.net/kepwgvmwgwnt/Kd2LSDwOM5D9mAqltOgiA/09dcc0b43a158b82b76ca229d32e8530/Frame_628.png,https://retool.com/templates/mssql-dashboard
MSSQL Admin Panel,"An admin panel for reading from and writing to your customer data, built on Microsoft SQL Server. This app lets you look through customers and take action on your data.",https://images.ctfassets.net/kepwgvmwgwnt/63MI8JtqXTNMc2FHFGI8iE/0e583db3f17f58dc9aaaafc84710264c/Frame_621__2_.png,https://retool.com/templates/mssql-admin-panel
MongoDB Dashboard,"A dashboard for visualizing core business metrics, built on MongoDB. This app lets you look through customer trends and take action on your data.",https://images.ctfassets.net/kepwgvmwgwnt/3EfNXc65Fz7V1mMGPn0397/fd3134d360b423e85299c0ad2fd0992d/eng-dashboard.png,https://retool.com/templates/mongodb-dashboard
MongoDB Admin Panel,"An admin panel for reading from and writing to your customer data, built on MongoDB. This app lets you look through customers and take action on your data.",https://images.ctfassets.net/kepwgvmwgwnt/63MI8JtqXTNMc2FHFGI8iE/0e583db3f17f58dc9aaaafc84710264c/Frame_621__2_.png,https://retool.com/templates/mongodb-admin-panel
GraphQL Dashboard,"A dashboard for visualizing core business metrics, built on GraphQL. This app lets you look through customer trends and take action on your data.",https://images.ctfassets.net/kepwgvmwgwnt/3xvREeKwHpYawsToi2w3G2/cccf0ebb14960cffba6af13a6bc21531/marketing-dashboard.png,https://retool.com/templates/graphql-dashboard
GraphQL Admin Panel,"An admin panel for reading from and writing to your customer data, built on GraphQL. This app lets you look through customers and take action on your data.",https://images.ctfassets.net/kepwgvmwgwnt/5iHHAnxgAOaURoBBeHQRId/52c53b84913b24b0ff42aef68a449391/Customer_Name__Company_Title.png,https://retool.com/templates/graphql-admin-panel
Google Sheets Dashboard,"A dashboard for visualizing core business metrics, built on Google Sheets. This app lets you look through customer trends and take action on your data.",https://images.ctfassets.net/kepwgvmwgwnt/3EfNXc65Fz7V1mMGPn0397/fd3134d360b423e85299c0ad2fd0992d/eng-dashboard.png,https://retool.com/templates/google-sheets-dashboard
Google Sheets Admin Panel,"An admin panel for reading from and writing to your customer data, built on Google Sheets. This app lets you look through customers and take action on your data.",https://images.ctfassets.net/kepwgvmwgwnt/a5sZjfw6fawZh0BjlLabt/a8a36565e605bc9f15342f85e3199e59/Warehouse_Management.png,https://retool.com/templates/google-sheets-admin-panel
Google Cloud Storage Dashboard,"A dashboard for visualizing core business metrics, built on Google Cloud Storage. This app lets you look through customer trends and take action on your data.",https://images.ctfassets.net/kepwgvmwgwnt/6bXBVxA40K2kpgIOKBdfGs/365a96432c12a166a15beea5bf3b81d5/Finance_Dashboard.png,https://retool.com/templates/google-cloud-storage-dashboard
Google Cloud Storage Admin Panel,"An admin panel for reading from and writing to your customer data, built on Google Cloud Storage. This app lets you look through customers and take action on your data.",https://images.ctfassets.net/kepwgvmwgwnt/Kd2LSDwOM5D9mAqltOgiA/09dcc0b43a158b82b76ca229d32e8530/Frame_628.png,https://retool.com/templates/google-cloud-storage-admin-panel
Firestore Dashboard,"A dashboard for visualizing core business metrics, built on Firestore. This app lets you look through customer trends and take action on your data.",https://images.ctfassets.net/kepwgvmwgwnt/6bXBVxA40K2kpgIOKBdfGs/365a96432c12a166a15beea5bf3b81d5/Finance_Dashboard.png,https://retool.com/templates/firestore-dashboard
Firestore Admin Panel,"An admin panel for reading from and writing to your customer data, built on Firestore. This app lets you look through customers and take action on your data.",https://images.ctfassets.net/kepwgvmwgwnt/5iHHAnxgAOaURoBBeHQRId/52c53b84913b24b0ff42aef68a449391/Customer_Name__Company_Title.png,https://retool.com/templates/firestore-admin-panel
BigQuery Dashboard,"A dashboard for visualizing core business metrics, built on BigQuery. This app lets you look through customer trends and take action on your data.",https://images.ctfassets.net/kepwgvmwgwnt/6bXBVxA40K2kpgIOKBdfGs/365a96432c12a166a15beea5bf3b81d5/Finance_Dashboard.png,https://retool.com/templates/bigquery-dashboard
BigQuery Admin Panel,"An admin panel for visualizing core business metrics, built on BigQuery. This app lets you look through customer trends and take action on your data.",https://images.ctfassets.net/kepwgvmwgwnt/bVYm8BaTNTliMZo4PducU/e6b22bf8d614717153818c1a860e0a8a/Frame_635.png,https://retool.com/templates/bigquery-admin-panel
Weekly Automated Shopify Order Report,Track and analyze Shopify orders with our weekly automated report template. Streamline insights and decision-making by receiving comprehensive sales data every week.,https://images.ctfassets.net/kepwgvmwgwnt/48nOGpymgmjGwDcg1nUJMV/3c88606dbee44ff3df22c53debeb7d5d/Notification.png,https://retool.com/templates/weekly-automated-shopify-order-report
Update Data to Google Sheet from a webhook POST request,"Update data in Google Sheets with live information from incoming webooks. Automate data transfer, streamline workflows, and keep your spreadsheets up-to-date with real-time information.",https://images.ctfassets.net/kepwgvmwgwnt/1QPNubG4kvUpPvMvMoYUZy/6d60017b08b6f554c2c788226f9517df/Workflows.png,https://retool.com/templates/update-data-to-google-sheet-from-webhook-post-request
Low Inventory Alerts,"Receive timely alerts when inventory levels fall below predefined thresholds, ensuring proactive inventory management and avoiding stockouts.",https://images.ctfassets.net/kepwgvmwgwnt/V2l70fDQueUp9azLbOCgk/226a1f0a5ede57796bcf41838b4b9e5a/Notification.png,https://retool.com/templates/low-inventory-alerts
Location-Based Shopify Order Assignment,Receive automated email notifications for low inventory levels in your Shopify store. Stay on top of stock availability and proactively manage your inventory to ensure you never run out of popular products. Keep your customers satisfied and avoid missed sales opportunities with this convenient email alert system.,https://images.ctfassets.net/kepwgvmwgwnt/1QPNubG4kvUpPvMvMoYUZy/6d60017b08b6f554c2c788226f9517df/Workflows.png,https://retool.com/templates/location-based-shopify-order-assignment
Send new Salesforce opportunities to Slack,"Stay informed about new Salesforce opportunities in real-time with this powerful workflow template. It automatically sends notifications to Slack whenever a new opportunity is created in Salesforce, allowing your team to stay updated and take immediate action. Streamline your sales processes, enhance collaboration, and seize new business opportunities with ease.",https://images.ctfassets.net/kepwgvmwgwnt/1dAbJaa9e3kXDAPZm0Lc6C/29fa734a73c0dc2ca023d77897066257/CTL.png,https://retool.com/templates/send-new-salesforce-opportunities-to-slack
Sync Linear Issues with Trello Cards,"Effortlessly synchronize your Linear issues with Trello cards, streamlining your project management workflow. Keep track of tasks and progress in both platforms, ensuring seamless collaboration and visibility across teams. Stay organized and efficient by integrating Linear and Trello for enhanced project management capabilities.",https://images.ctfassets.net/kepwgvmwgwnt/6RYMpsbAnUuNuYxumCTPDt/307261efd04236adf98246c916b483b7/Data.png,https://retool.com/templates/sync-linear-issues-with-trello-cards
Sync Shopify Orders with Quickbooks,Automatically synchronize your Shopify orders with QuickBooks to streamline your accounting process. Keep your financial records up to date and ensure accurate reporting by seamlessly integrating your Shopify sales data with QuickBooks. Simplify your order management and financial tracking with this powerful synchronization tool.,https://images.ctfassets.net/kepwgvmwgwnt/1QPNubG4kvUpPvMvMoYUZy/6d60017b08b6f554c2c788226f9517df/Workflows.png,https://retool.com/templates/sync-shopify-orders-with-quickbooks
Sync Salesforce to Postgres,"Sync Salesforce account data to Postgres. Automate data updates, enhance data consistency, and gain insights by integrating Salesforce and Postgres.",https://images.ctfassets.net/kepwgvmwgwnt/1QPNubG4kvUpPvMvMoYUZy/6d60017b08b6f554c2c788226f9517df/Workflows.png,https://retool.com/templates/sync-salesforce-to-postgres
Sync Google Sheets Rows to Postgres Database,"Synchronize Google Sheets rows with a PostgreSQL database, enabling seamless data transfer and ensuring real-time integration between the two platforms.",https://images.ctfassets.net/kepwgvmwgwnt/48nOGpymgmjGwDcg1nUJMV/3c88606dbee44ff3df22c53debeb7d5d/Notification.png,https://retool.com/templates/sync-google-sheets-rows-to-postgres-database
Sync API to Database,"Integrate API data with Retool's PostgreSQL database, ensuring seamless synchronization for efficient data management and analysis.",https://images.ctfassets.net/kepwgvmwgwnt/1QPNubG4kvUpPvMvMoYUZy/6d60017b08b6f554c2c788226f9517df/Workflows.png,https://retool.com/templates/sync-api-to-database
Fraudulent Order Notifications,"Instantly receive notifications for suspicious orders, helping prevent fraudulent transactions and safeguarding your business and customers.",https://images.ctfassets.net/kepwgvmwgwnt/V2l70fDQueUp9azLbOCgk/226a1f0a5ede57796bcf41838b4b9e5a/Notification.png,https://retool.com/templates/fraudulent-order-notifications
